Time: 2021/03/15 03:12:42
Execution time: 279872860339960 seconds
Format: Number X Y Radius, 
 0 32.81493668597953 41.84412303496083 0.23960248489063096, 
 1 21.08606900318798 4.905589931912768 0.09323375326545547, 
 2 76.78166550912891 35.81428787783505 0.02423444697723673, 
 3 1.8245750053773158 97.05912659550438 0.1843228475894774, 92 1.761124053833485 96.86573827522771 0.10478932249613629, 
 4 62.643256729806836 73.52922870853395 0.08999031272596997, 
 5 81.26051526524734 46.56985837610734 0.10743599587406344, 
 6 32.78637126116853 17.01803065391986 0.22252389263711062, 
 7 82.83131222557918 42.1835375423127 0.016762740001067228, 
 8 1.938993150555346 46.8281777931423 0.09292369381498056, 
 9 97.69851152480771 30.177205453336185 0.010265098067502393, 
 10 61.03395800172967 95.24248426636723 0.005401417912871215, 
 11 98.20201386879982 11.473874658498072 0.07665726913804005, 
 12 14.771267468726768 58.653707682033776 0.1503020979271126, 
 13 46.08985193773136 12.512848588525982 0.11903281838468441, 
 14 72.33166724636135 79.88319648154324 0.10141184808677983, 
 15 93.8778825343923 94.12718535581706 0.005720936867661952, 
 16 61.11085197310396 52.39209810135152 0.039601209041133595, 
 17 81.8062626371353 22.825727472451753 0.07134720404326186, 
 18 5.336591047977047 59.3432271467114 0.16128721311089464, 
 19 23.440841478449947 27.59124808722886 0.17353606415816958, 
 20 15.644383722130206 89.00454533395569 0.0799182893397779, 
 21 75.50543853253393 28.85788029556221 0.07397369165423234, 
 22 93.70307214130034 80.1543925161656 0.10641919616576179, 
 23 50.95146540057821 41.92748740450003 0.07349678301030196, 
 24 25.3196630671521 36.505183295899194 0.23235826996682848, 
 25 55.937729980425374 97.87017568082216 0.06492441218865372, 
 26 34.56957374314135 95.69434065054867 0.15944064566909547, 
 27 82.1061925707907 75.01097524111006 0.17103999666334274, 
 28 4.7889180576596075 57.524578694081576 0.1950556362436146, 
 29 34.53733057387952 13.452379399833447 0.03858508824901036, 
 30 55.06160048164283 27.733672751733675 0.10512635986847332, 
